id;name;ligne;terminus;lat;long;links
80;Charles Michels;10;0;48.846534635818486;2.2859992234215967;"151;323"
68;Cluny-La Sorbonne;10;0;48.85105028139347;2.344273345421352;"184;89"
135;Duroc;10;0;48.8469891052187;2.3170052357372453;"188;48"
223;Gare d'Austerlitz;10;1;48.84243679610461;2.3651848120043346;256
151;Javel - André Citroën;10;0;48.84612366595408;2.277711739827638;"160;173;80"
256;Jussieu;10;0;48.846151122159775;2.3549179836962724;"12;223"
347;La Motte Picquet-Grenelle;10;0;48.84935055270009;2.298301401728378;"323;188"
62;Mabillon;10;0;48.85301676700393;2.335502053090325;"189;184"
89;Maubert-Mutualité;10;0;48.850127322875615;2.348054290484544;"68;12"
23;Michel Ange-Auteuil;10;0;48.84793480697962;2.264218777050251;"304;160"
90;Michel Ange-Molitor;10;0;48.845247564533935;2.261623492404886;"6;301"
173;Mirabeau;10;0;48.8471310072754;2.272763753316159;"301;151"
184;Odéon;10;0;48.85216726019567;2.3396463359328807;"62;68"
304;Porte d'Auteuil;10;0;48.84797153967688;2.257744680376012;"6;23"
189;Sèvres-Babylone;10;0;48.85119234840104;2.3264884739691643;"48;62"
188;Ségur;10;0;48.847066132231625;2.30740224061964;"347;135"
48;Vaneau;10;0;48.84881637154946;2.32125786290546;"135;189"
160;Église d'Auteuil;10;0;48.84715005478894;2.269135872730268;"23;151"
53;Balard;8;1;48.83593087827381;2.278161671278975;218
158;Bastille;8;0;48.85343942665477;2.3695135695192064;"55;175"
143;Bonne Nouvelle;8;0;48.870164199979776;2.350497971863092;"45;219"
232;Boucicaut;8;0;48.84109405542875;2.2879457664996647;"218;168"
16;Charenton-Écoles;8;0;48.82159576640084;2.4137375175167306;"176;330"
55;Chemin Vert;8;0;48.85742003662634;2.368108290701384;"204;158"
333;Commerce;8;0;48.84479476369025;2.2939519636365358;"168;28"
252;Concorde;8;0;48.86681836803004;2.322082848687873;"387;178"
290;Créteil - Pointe du Lac;8;1;48.76871512435045;2.464564993211323;242
243;Créteil-Université;8;0;48.78997830942798;2.450453177915301;"75;242"
75;Créteil–L’Échat;8;0;48.79674076566212;2.4494331756869863;"312;243"
242;Créteil–Préfecture;8;0;48.7799053160387;2.4593683962590527;"243;290"
329;Daumesnil;8;0;48.83944542745866;2.396182886452633;"211;259"
253;Faidherbe Chaligny;8;0;48.85017786097953;2.384092210066296;"175;368"
86;Filles du Calvaire;8;0;48.8632579440453;2.366661094716491;"198;204"
168;Félix Faure;8;0;48.84274677887205;2.291912413317875;"232;333"
45;Grands Boulevards;8;0;48.87149773842927;2.3431547730752333;"376;143"
387;Invalides;8;0;48.86232532817291;2.3151384321911705;"91;252"
28;La Motte Picquet-Grenelle;8;0;48.84935055270009;2.298301401728378;"333;54"
91;La Tour Maubourg;8;0;48.85772541197265;2.310565960946845;"54;387"
175;Ledru Rollin;8;0;48.851271125444384;2.3761187733393445;"158;253"
176;Liberté;8;0;48.82605499562712;2.406742225927992;"64;16"
218;Lourmel;8;0;48.83896093845116;2.2827000272391307;"53;232"
178;Madeleine;8;0;48.86963317210412;2.3262722740277484;"252;101"
312;Maisons-Alfort-Les Juilliottes;8;0;48.802637689797145;2.446927484242136;"297;75"
297;Maisons-Alfort-Stade;8;0;48.809144360015146;2.434509895933692;"330;312"
259;Michel Bizot;8;0;48.83711700607468;2.4023331659174443;"329;140"
211;Montgallet;8;0;48.844408671158064;2.3900751128200297;"368;329"
101;Opéra;8;0;48.87064173142225;2.3321385995874326;"178;376"
140;Porte Dorée;8;0;48.83478515716054;2.405383210626772;"259;64"
64;Porte de Charenton;8;0;48.83316292858302;2.401448054218979;"140;176"
368;Reuilly-Diderot;8;0;48.847128720420486;2.387025242109209;"253;211"
376;Richelieu-Drouot;8;0;48.87178660113546;2.3390305467230617;"101;45"
198;République;8;0;48.86715872441712;2.36395783649627;"219;86"
204;Saint-Sébastien-Froissart;8;0;48.86116886456698;2.367210866411708;"86;55"
219;Strasbourg-Saint-Denis;8;0;48.86922417073163;2.3546037906971624;"143;198"
54;École Militaire;8;0;48.85468215596693;2.3060974037042845;"28;91"
330;École Vétérinaire de Maisons-Alfort;8;0;48.81480300607956;2.4223761428456223;"16;297"
114;Basilique de Saint-Denis;13;0;48.93652685166611;2.359398261032672;"283;200;49"
244;Brochant;13;0;48.89058718568332;2.320174755787804;"316;260"
13;Carrefour Pleyel;13;0;48.91957307313787;2.3433059305125963;"200;350"
15;Champs-Élysées – Clemenceau;13;0;48.86760214429292;2.3138941291184696;"25;229"
164;Châtillon-Montrouge;13;1;48.81074648765865;2.3016785554583445;344
78;Duroc;13;0;48.84705255360801;2.3164243520626893;"115;52"
339;Gabriel Péri;13;0;48.91638230900144;2.294685111702555;"370;264"
295;Garibaldi;13;0;48.90609404932792;2.3318308379624098;"350;192"
340;Gaîté;13;0;48.83863164532401;2.3224917498246267;"52;99"
84;Guy Môquet;13;0;48.89282885246845;2.327428458503176;"192;260"
229;Invalides;13;0;48.86236470320508;2.3139095777885417;"15;288"
260;La Fourche;13;0;48.88718394594505;2.325779674806892;"84;244;267"
370;Les Agnettes;13;0;48.92310377874536;2.286279577529783;"49;339"
49;Les Courtilles;13;1;48.93075700241566;2.284174448283296;"114;370"
263;Liège;13;0;48.87963475973605;2.3270222008895023;"267;51"
264;Mairie de Clichy;13;0;48.90333009365302;2.305924149869319;"339;316"
350;Mairie de Saint-Ouen;13;0;48.91196489696018;2.3339248904797145;"13;295"
128;Malakoff - Plateau de Vanves;13;0;48.82258370591684;2.2984641919706355;"362;344"
344;Malakoff - Rue Étienne Dolet;13;0;48.8153075302873;2.297077798334658;"128;164"
